N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
967019,859102,691.3524278,1,0,1,"[5.714285714, 0.714285714]","[6.611086041, 1.299325797]","[7.692037626, 2.016012626]","[8.995999623, 2.89234316]","[10.57004556, 3.962237574]","[12.4711977, 5.266790385]","[14.76852649, 6.855785063]","[17.54569126, 8.789527312]","[20.90401442, 11.14106358]","[24.96619977, 13.998865]","[29.88082836, 17.47007331]","[35.82779198, 21.68442479]","[43.02485613, 26.79899161]","[51.73558212, 33.0039073]"
628577,1285455,3204.500928,0,1,2,"[4.857142857, 8.0]","[4.841672145, 9.297902541]","[4.893320699, 10.74524095]","[5.01384339, 12.36444521]","[5.205979106, 14.18067618]","[5.473503636, 16.22221527]","[5.821297709, 18.52090332]","[6.255431236, 21.11263445]","[6.783265181, 24.03791282]","[7.413572749, 27.34248094]","[8.15668164, 31.0780281]","[9.024639641, 35.30298993]","[10.03140622, 40.08345147]","[11.19307278, 45.4941658]"
1623260,1399959,742.6369763,0,1,2,"[0.857142857, 8.285714286]","[1.08794385, 8.871496675]","[1.341796116, 9.510806134]","[1.620883312, 10.20867076]","[1.927594862, 10.97059172]","[2.264545328, 11.80258774]","[2.634595573, 12.71124363]","[3.040875925, 13.70376348]","[3.486811506, 14.78802869]","[3.976149931, 15.97266154]","[4.512991613, 17.26709457]","[5.101822887, 18.68164651]","[5.747552237, 20.22760523]","[6.455549913, 21.91731837]"
1641190,1356834,4001.079812,1,0,1,"[2.571428571, 7.428571429]","[3.706251057, 8.400254319]","[5.092838865, 9.585208118]","[6.786787868, 11.03052176]","[8.855964525, 12.79367667]","[11.38321121, 14.94483788]","[14.46964654, 17.56964903]","[18.2386911, 20.77264153]","[22.84097656, 24.68139188]","[28.46033081, 29.45158994]","[35.32107257, 35.27321602]","[43.69689839, 42.3780661]","[53.92170491, 51.0489154]","[66.40275975, 61.63067009]"
968514,1614703,3688.138982,0,1,2,"[1.571428571, 2.571428571]","[1.497317117, 2.768454778]","[1.434620756, 2.975735724]","[1.3825915, 3.194184902]","[1.340569818, 3.424753242]","[1.307977795, 3.668433607]","[1.284313, 3.926265385]","[1.269143015, 4.199339218]","[1.262100553, 4.488801884]","[1.262879129, 4.795861346]","[1.271229245, 5.121792013]","[1.286955032, 5.467940215]","[1.309911327, 5.835729939]","[1.340001139, 6.226668843]"
1743558,1339681,2227.775971,1,0,1,"[0.571428571, 0.285714286]","[0.603106116, 0.29176458]","[0.6363161, 0.298837253]","[0.671149316, 0.306930552]","[0.707700514, 0.316046991]","[0.746068666, 0.326193238]","[0.786357256, 0.337380012]","[0.828674562, 0.349622009]","[0.873133964, 0.362937837]","[0.919854255, 0.377349977]","[0.968959968, 0.39288476]","[1.020581715, 0.409572354]","[1.074856546, 0.427446779]","[1.131928313, 0.446545925]"
753461,1723752,3537.382339,0,1,2,"[2.428571429, 5.571428571]","[2.576514084, 5.947873622]","[2.73520388, 6.348989932]","[2.905295722, 6.776442776]","[3.087491964, 7.232006402]","[3.282545291, 7.717571359]","[3.491261807, 8.235152294]","[3.714504348, 8.786896271]","[3.953196033, 9.37509165]","[4.208324045, 10.00217748]","[4.480943678, 10.67075352]","[4.772182683, 11.38359101]","[5.083245908, 12.14364407]","[5.415420199, 12.95406174]"
742122,1063979,3034.006203,0,1,2,"[2.857142857, 5.714285714]","[3.630855924, 6.951342054]","[4.580355159, 8.461776355]","[5.744732622, 10.30615478]","[7.171742724, 12.55845637]","[8.919717832, 15.30903852]","[11.05990573, 18.66825528]","[13.67932129, 22.77087133]","[16.88422416, 27.78144453]","[20.80435826, 33.90088677]","[25.59811725, 41.3744569]","[31.45883437, 50.501492]","[38.62243563, 61.6472457]","[47.37674301, 75.25727572]"
1076104,809316,1686.410364,1,0,1,"[8.142857143, 3.428571429]","[9.14819378, 4.279947086]","[10.30496115, 5.277748661]","[11.63711873, 6.445776664]","[13.17245347, 7.811654229]","[14.94319132, 9.407438222]","[16.98670586, 11.27032745]","[19.34633986, 13.44348345]","[22.07235668, 15.97698089]","[25.2230427, 18.92890855]","[28.86598387, 22.36664378]","[33.0795429, 26.36832678]","[37.95456964, 31.02456685]","[43.59637762, 36.44041309]"
1152899,619544,2009.383638,1,0,1,"[1.0, 3.142857143]","[1.266840911, 3.233076746]","[1.558286564, 3.340708606]","[1.877171339, 3.4674388]","[2.226636091, 3.615144689]","[2.610161832, 3.785915672]","[3.031607078, 3.9820762]","[3.495249261, 4.20621131]","[4.005830671, 4.461194945]","[4.568609413, 4.750221388]","[5.189415916, 5.076840114]","[5.874715588, 5.444994444]","[6.631678304, 5.859064419]","[7.46825545, 6.323914336]"
