N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1662422,1747882,529.0912797,1,0,1,"[0.571428571, 3.428571429]","[0.935242999, 3.533816793]","[1.31889307, 3.654057462]","[1.724403446, 3.790342556]","[2.153956289, 3.943816202]","[2.609904859, 4.115725254]","[3.094788249, 4.307427668]","[3.611347318, 4.520401587]","[4.162541957, 4.756255187]","[4.751569774, 5.016737361]","[5.38188633, 5.303749292]","[6.057227051, 5.619357013]","[6.781630954, 5.965805008]","[7.559466344, 6.345530969]"
1669731,1213721,317.7624838,1,0,1,"[1.571428571, 0.857142857]","[1.75734133, 0.942573275]","[1.96424021, 1.039289927]","[2.194597566, 1.148445466]","[2.451165796, 1.271341382]","[2.737010198, 1.409443507]","[3.055545575, 1.564399483]","[3.410576976, 1.738058403]","[3.806345097, 1.932492846]","[4.247576866, 2.150023582]","[4.739541835, 2.393247247]","[5.288115007, 2.665067286]","[5.899846869, 2.968728558]","[6.582041457, 3.307856002]"
835466,848072,1808.345051,1,0,1,"[8.428571429, 8.0]","[10.3453859, 9.639195688]","[12.6802638, 11.63283322]","[15.52401902, 14.05785884]","[18.98715623, 17.0079057]","[23.20412563, 20.59690146]","[28.33848957, 24.96345017]","[34.58919352, 30.27615205]","[42.19817214, 36.74005811]","[51.459567, 44.60449569]","[62.73088656, 54.17254752]","[76.44650052, 65.81252083]","[93.13393262, 79.97180524]","[113.4334952, 97.19358879]"
1092449,1677043,759.1065186,1,0,1,"[6.0, 2.857142857]","[7.21416928, 3.627329926]","[8.697152763, 4.588912637]","[10.51096269, 5.788124786]","[12.73215773, 7.282247694]","[15.45527453, 9.142237297]","[18.79706848, 11.4559738]","[22.90175409, 14.33228102]","[27.94747824, 17.90589637]","[34.15431428, 22.34361503]","[41.79412987, 27.8518835]","[51.20276165, 34.68618092]","[62.79502613, 43.16260424]","[77.0832122, 53.67216703]"
623552,1132658,1262.334404,1,0,1,"[4.857142857, 7.142857143]","[6.653936223, 8.680894666]","[8.988867284, 10.60735102]","[12.01474487, 13.02671955]","[15.92703963, 16.07219634]","[20.97569728, 19.91360368]","[27.48019239, 24.7674956]","[35.84869454, 30.91004059]","[46.60244151, 38.69343361]","[60.40669212, 48.56678961]","[78.10995716, 61.10271188]","[100.7936092, 77.03103518]","[129.8344156, 97.28160301]","[166.9830512, 123.0383805]"
1600060,1509270,1634.6366,1,0,1,"[1.571428571, 1.857142857]","[1.789899758, 1.942260484]","[2.034316055, 2.042516683]","[2.307886986, 2.159613099]","[2.614214638, 2.295465117]","[2.957341813, 2.452227886]","[3.341806061, 2.632325555]","[3.772700313, 2.838484063]","[4.255740938, 3.073767968]","[4.797344157, 3.341621803]","[5.404711768, 3.64591647]","[6.085927349, 3.991001322]","[6.850064228, 4.381762628]","[7.707306627, 4.823689169]"
1390194,1105374,1147.968155,0,1,2,"[1.428571429, 4.857142857]","[1.757917333, 5.214366484]","[2.099191394, 5.610402189]","[2.454996546, 6.048130842]","[2.828034709, 6.53074292]","[3.221127312, 7.061761617]","[3.637236637, 7.64506841]","[4.079488124, 8.284931253]","[4.551193817, 8.986035599]","[5.055877117, 9.753518479]","[5.59729903, 10.59300587]","[6.179486097, 11.51065362]","[6.806760211, 12.51319222]","[7.483770546, 13.60797573]"
1485454,1125738,998.9019317,1,0,1,"[3.857142857, 8.142857143]","[4.41076339, 8.1180484]","[4.977506979, 8.124725979]","[5.559465649, 8.16269362]","[6.158775102, 8.231876932]","[6.777622588, 8.332322226]","[7.418254925, 8.464195815]","[8.082986719, 8.627783776]","[8.774208735, 8.823492187]","[9.49439645, 9.0518478]","[10.24611899, 9.313499167]","[11.03204833, 9.609218258]","[11.85496858, 9.93990248]","[12.71778599, 10.3065772]"
1732127,1099079,1194.540372,0,1,2,"[6.285714286, 3.428571429]","[6.390409549, 3.89537831]","[6.508723551, 4.382176903]","[6.641246975, 4.890351513]","[6.788611078, 5.4213617]","[6.951489895, 5.976746838]","[7.130602583, 6.558130924]","[7.32671591, 7.167227694]","[7.540646884, 7.805845991]","[7.773265525, 8.47589542]","[8.02549784, 9.179392408]","[8.298328962, 9.918466563]","[8.592806412, 10.69536729]","[8.910043673, 11.51247102]"
718893,1152156,850.17096,0,1,2,"[3.571428571, 6.428571429]","[3.823834018, 7.201129092]","[4.110182085, 8.062030905]","[4.434248963, 9.021502083]","[4.800250681, 10.09094604]","[5.212893633, 11.28307996]","[5.677430873, 12.61208589]","[6.199724861, 14.09377895]","[6.786317385, 15.7457949]","[7.444507485, 17.587799]","[8.182438281, 19.64171867]","[9.009193675, 21.93200253]","[9.934906059, 24.48590881]","[10.97087625, 27.33382637]"
